airline,origin,dest,month,day_of_week,sched_dep_hour,distance,is_weekend,is_peak_hour,is_holiday_season,temperature_f,wind_speed_mph,precipitation_in,visibility_miles,origin_congestion_index,dest_congestion_index,delay_minutes,delayed
NK,SEA,ATL,9,6,14,1255,1,0,0,50.2,5.4,0.016,9.39,0.5,0.8,0,0
NK,ORD,MCO,4,6,12,664,1,0,0,30.2,12.2,0.044,8.83,0.85,0.6,0,0
WN,ORD,ATL,8,6,17,1749,1,1,0,57.7,5.8,0.021,9.52,0.85,0.8,0,0
UA,LAX,LAS,5,6,8,847,1,1,0,77.4,2.4,0.042,10.0,0.75,0.55,23,1
WN,LAS,ORD,2,0,11,2511,0,0,0,50.2,15.7,0.256,7.85,0.55,0.85,67,1
NK,LAS,ATL,1,2,8,2343,0,1,0,51.7,15.7,0.157,9.37,0.55,0.8,45,1
DL,SEA,DFW,4,2,7,1524,0,1,0,56.6,8.0,0.027,8.8,0.5,0.7,0,0
AS,LAS,JFK,3,1,19,487,0,0,0,24.0,8.2,0.007,9.18,0.55,0.9,25,1
AS,SEA,ATL,7,2,16,957,0,1,0,68.8,14.6,0.015,8.43,0.5,0.8,49,1
NK,DFW,SFO,12,6,21,731,1,0,1,81.2,11.8,0.132,10.0,0.7,0.8,46,1
UA,SEA,LAS,12,2,22,2028,0,0,1,70.2,13.6,0.043,10.0,0.5,0.55,0,0
NK,JFK,DFW,6,5,12,1635,1,0,0,51.1,11.4,0.005,10.0,0.9,0.7,0,0
AS,SEA,MCO,7,5,16,2580,1,1,0,63.6,7.0,0.142,6.29,0.5,0.6,65,1
B6,JFK,ORD,2,5,14,2264,1,0,0,61.1,13.8,0.047,7.18,0.9,0.85,0,0
DL,MCO,DFW,3,2,7,2172,0,1,0,71.7,1.7,0.003,7.63,0.6,0.7,65,1
WN,JFK,ATL,4,1,16,945,0,1,0,56.0,7.6,0.01,10.0,0.9,0.8,0,0
NK,LAX,JFK,11,4,21,1398,0,0,1,51.0,7.2,0.002,10.0,0.75,0.9,0,0
NK,LAX,DFW,12,4,6,1025,0,0,1,53.5,11.8,0.044,9.58,0.75,0.7,49,1
UA,MCO,JFK,6,1,8,629,0,1,0,29.6,13.9,0.006,8.01,0.6,0.9,0,0
UA,DEN,SFO,9,6,20,600,1,0,0,49.1,19.0,0.007,8.73,0.6,0.8,0,0
UA,LAX,DFW,12,4,11,939,0,0,1,30.1,14.7,0.057,9.62,0.75,0.7,15,1
UA,JFK,MCO,1,0,13,1710,0,0,0,42.3,5.0,0.011,7.53,0.9,0.6,0,0
AA,ATL,ORD,6,0,7,1505,0,1,0,73.8,18.3,0.018,7.65,0.8,0.85,20,1
DL,LAS,DFW,7,6,16,517,1,1,0,71.1,10.1,0.054,7.94,0.55,0.7,116,1
NK,DEN,MCO,7,3,7,682,0,1,0,55.6,10.2,0.068,8.01,0.6,0.6,0,0
DL,SEA,JFK,3,4,11,2567,0,0,0,49.4,13.9,0.016,9.33,0.5,0.9,0,0
B6,ATL,DEN,7,4,8,1396,0,1,0,65.9,15.5,0.002,7.84,0.8,0.6,0,0
B6,ATL,DEN,8,1,11,2541,0,0,0,109.3,9.5,0.017,8.91,0.8,0.6,0,0
DL,DFW,DEN,7,2,10,512,0,0,0,53.4,9.3,0.156,6.76,0.7,0.6,0,0
UA,SEA,JFK,2,4,15,551,0,0,0,53.8,9.9,0.035,10.0,0.5,0.9,0,0
F9,SFO,LAS,12,1,17,2108,0,1,1,32.6,6.2,0.074,10.0,0.8,0.55,140,1
AS,SEA,ORD,3,1,6,995,0,0,0,69.0,6.2,0.032,8.06,0.5,0.85,0,0
AS,SEA,LAS,2,0,5,1914,0,0,0,50.1,15.3,0.014,10.0,0.5,0.55,0,0
F9,SFO,MCO,10,5,8,587,1,1,0,72.5,11.8,0.085,10.0,0.8,0.6,0,0
WN,ATL,LAX,5,0,21,735,0,0,0,45.1,18.3,0.005,7.92,0.8,0.75,113,1
DL,ATL,MCO,6,6,12,933,1,0,0,45.3,6.9,0.048,8.2,0.8,0.6,0,0
AA,DEN,MCO,9,1,11,1370,0,0,0,62.1,5.9,0.083,6.62,0.6,0.6,0,0
F9,JFK,SEA,7,6,5,256,1,0,0,75.7,8.8,0.008,6.45,0.9,0.5,90,1
WN,LAX,MCO,4,0,13,277,0,0,0,32.7,6.3,0.0,8.47,0.75,0.6,0,0
AA,LAS,DFW,12,5,21,918,1,0,1,50.9,0.0,0.185,4.09,0.55,0.7,0,0
WN,LAX,SFO,2,2,16,2229,0,1,0,94.7,13.4,0.009,6.29,0.75,0.8,165,1
UA,MCO,LAX,9,4,11,1050,0,0,0,57.9,19.6,0.033,7.63,0.6,0.75,52,1
AS,LAX,ORD,6,5,5,668,1,0,0,63.1,6.7,0.004,9.49,0.75,0.85,0,0
WN,DEN,SFO,2,6,8,2281,1,1,0,73.8,25.5,0.046,10.0,0.6,0.8,40,1
NK,DEN,DFW,11,4,21,2110,0,0,1,46.6,12.1,0.063,7.59,0.6,0.7,81,1
B6,SFO,ORD,12,3,7,705,0,1,1,50.0,8.9,0.015,9.03,0.8,0.85,43,1
DL,ATL,MCO,3,5,15,342,1,0,0,57.1,10.9,0.065,8.32,0.8,0.6,45,1
WN,LAX,ATL,5,3,6,2584,0,0,0,94.5,11.4,0.023,10.0,0.75,0.8,0,0
DL,JFK,SFO,10,3,11,902,0,0,0,49.7,6.5,0.123,9.45,0.9,0.8,0,0
F9,SEA,MCO,2,4,16,351,0,1,0,54.2,12.9,0.03,6.62,0.5,0.6,0,0
AA,DEN,MCO,2,3,18,503,0,1,0,47.0,9.1,0.089,8.82,0.6,0.6,0,0
WN,JFK,ORD,12,6,8,1103,1,1,1,33.2,10.6,0.001,8.23,0.9,0.85,0,0
B6,DEN,ATL,1,5,12,1702,1,0,0,13.8,15.5,0.025,9.13,0.6,0.8,0,0
F9,MCO,ORD,9,2,22,1123,0,0,0,64.3,7.4,0.013,10.0,0.6,0.85,0,0
F9,LAS,DEN,6,5,10,1562,1,0,0,86.9,9.6,0.017,8.44,0.55,0.6,0,0
NK,ORD,DEN,10,1,13,373,0,0,0,51.3,16.7,0.018,10.0,0.85,0.6,0,0
AA,MCO,DEN,5,2,19,2040,0,0,0,78.8,11.3,0.009,7.11,0.6,0.6,0,0
WN,ATL,ORD,4,5,22,1032,1,0,0,58.7,5.3,0.029,7.39,0.8,0.85,0,0
B6,SEA,SFO,5,1,7,1597,0,1,0,60.2,8.8,0.092,8.25,0.5,0.8,94,1
B6,SFO,DEN,2,6,8,466,1,1,0,31.3,6.9,0.007,5.7,0.8,0.6,15,1
UA,LAX,SEA,12,5,22,533,1,0,1,30.5,3.8,0.001,8.6,0.75,0.5,0,0
UA,JFK,SEA,2,2,12,2399,0,0,0,53.7,0.1,0.117,5.17,0.9,0.5,15,1
NK,ATL,SFO,4,5,12,2520,1,0,0,56.5,10.0,0.055,10.0,0.8,0.8,36,1
F9,MCO,LAS,1,5,20,2179,1,0,0,68.2,11.3,0.001,10.0,0.6,0.55,0,0
NK,LAS,ORD,8,2,13,2253,0,0,0,50.5,10.9,0.018,8.05,0.55,0.85,0,0
WN,SFO,LAS,8,6,22,1502,1,0,0,56.1,11.0,0.078,10.0,0.8,0.55,0,0
F9,ORD,MCO,5,2,14,227,0,0,0,91.3,16.6,0.009,10.0,0.85,0.6,74,1
AA,DFW,SFO,6,4,16,1289,0,1,0,42.7,7.7,0.02,10.0,0.7,0.8,35,1
UA,ATL,DFW,11,0,16,1114,0,1,1,44.4,11.2,0.185,6.46,0.8,0.7,70,1
UA,SEA,LAX,4,4,10,1328,0,0,0,67.8,5.8,0.03,6.33,0.5,0.75,184,1
DL,LAX,DFW,3,2,6,237,0,0,0,81.2,10.3,0.019,10.0,0.75,0.7,0,0
WN,DEN,SFO,6,6,14,1191,1,0,0,61.8,13.0,0.003,9.95,0.6,0.8,0,0
AA,MCO,DFW,10,3,15,669,0,0,0,78.6,15.0,0.043,9.59,0.6,0.7,0,0
AA,LAS,SEA,11,4,5,960,0,0,1,70.1,19.1,0.055,6.73,0.55,0.5,51,1
AS,SEA,JFK,5,5,8,2474,1,1,0,65.4,12.8,0.03,9.27,0.5,0.9,0,0
B6,LAX,DFW,4,6,13,889,1,0,0,82.9,14.3,0.044,10.0,0.75,0.7,0,0
NK,MCO,LAX,2,3,9,1623,0,0,0,65.8,7.3,0.066,9.33,0.6,0.75,0,0
WN,ATL,LAS,10,0,11,1672,0,0,0,57.6,13.6,0.025,9.73,0.8,0.55,0,0
UA,LAX,SEA,11,5,22,2508,1,0,1,66.7,23.8,0.017,7.73,0.75,0.5,63,1
NK,SEA,ORD,9,0,21,2167,0,0,0,84.8,14.3,0.077,10.0,0.5,0.85,0,0
DL,JFK,ORD,8,1,10,2092,0,0,0,4.9,8.2,0.009,10.0,0.9,0.85,31,1
DL,ORD,LAS,8,2,17,1547,0,1,0,44.5,9.7,0.022,8.09,0.85,0.55,0,0
NK,ATL,LAX,5,1,22,1151,0,0,0,107.5,16.6,0.049,7.03,0.8,0.75,53,1
WN,DFW,ORD,3,2,19,985,0,0,0,44.6,10.3,0.015,10.0,0.7,0.85,89,1
DL,JFK,SFO,11,3,20,500,0,0,1,40.1,16.3,0.093,7.76,0.9,0.8,0,0
AA,ORD,SEA,4,1,12,2555,0,0,0,73.5,16.2,0.002,8.94,0.85,0.5,0,0
F9,DEN,SEA,11,5,20,297,1,0,1,77.6,12.2,0.039,5.83,0.6,0.5,0,0
B6,ATL,JFK,3,0,13,545,0,0,0,52.4,9.9,0.011,7.46,0.8,0.9,0,0
AS,DEN,SEA,3,2,6,849,0,0,0,53.6,20.6,0.068,8.89,0.6,0.5,47,1
F9,LAX,ORD,8,4,12,2389,0,0,0,68.2,0.0,0.014,7.33,0.75,0.85,173,1
WN,JFK,LAS,9,0,5,737,0,0,0,50.8,13.1,0.048,8.09,0.9,0.55,0,0
AA,LAS,JFK,6,1,6,1995,0,0,0,55.0,7.7,0.038,6.85,0.55,0.9,0,0
F9,SEA,DEN,9,0,13,269,0,0,0,55.8,0.0,0.056,10.0,0.5,0.6,0,0
NK,LAX,ATL,12,5,5,2357,1,0,1,55.0,4.0,0.001,10.0,0.75,0.8,0,0
WN,JFK,SFO,8,1,6,1970,0,0,0,44.4,0.6,0.034,10.0,0.9,0.8,62,1
AA,MCO,JFK,12,5,8,1384,1,1,1,52.7,9.2,0.006,8.44,0.6,0.9,15,1
B6,DEN,LAX,4,6,11,1795,1,0,0,51.3,12.0,0.017,10.0,0.6,0.75,0,0
B6,LAX,ATL,11,1,17,237,0,1,1,57.5,18.7,0.072,6.15,0.75,0.8,28,1
AS,SEA,DEN,11,0,17,1746,0,1,1,50.3,10.6,0.026,7.41,0.5,0.6,0,0
DL,LAS,DFW,6,4,17,2585,0,1,0,49.7,0.0,0.062,6.91,0.55,0.7,70,1
B6,DFW,ATL,10,6,9,2322,1,0,0,69.3,4.6,0.02,9.31,0.7,0.8,0,0
DL,SEA,ORD,4,3,9,2298,0,0,0,51.8,5.4,0.017,10.0,0.5,0.85,0,0
NK,SEA,DEN,11,0,9,2295,0,0,1,37.4,7.3,0.015,10.0,0.5,0.6,0,0
AA,DFW,ATL,3,6,9,2396,1,0,0,63.8,17.5,0.03,7.02,0.7,0.8,0,0
B6,MCO,ATL,4,4,15,1984,0,0,0,69.7,3.5,0.01,9.8,0.6,0.8,0,0
UA,LAS,DFW,2,3,11,2348,0,0,0,38.3,31.5,0.065,10.0,0.55,0.7,50,1
NK,DFW,JFK,11,2,10,263,0,0,1,51.7,14.8,0.017,7.64,0.7,0.9,53,1
UA,DFW,SFO,10,5,12,1970,1,0,0,66.3,6.3,0.009,9.39,0.7,0.8,73,1
DL,ATL,DEN,5,6,8,1499,1,1,0,50.3,9.3,0.009,10.0,0.8,0.6,15,1
AS,LAS,LAX,2,0,8,726,0,1,0,46.6,9.2,0.149,8.85,0.55,0.75,0,0
NK,DFW,LAS,10,0,8,773,0,1,0,51.6,0.3,0.078,10.0,0.7,0.55,0,0
F9,SFO,SEA,7,6,19,821,1,0,0,66.1,14.3,0.002,8.74,0.8,0.5,0,0
AS,SEA,DEN,11,3,17,501,0,1,1,36.2,12.0,0.035,7.61,0.5,0.6,0,0
F9,ATL,DFW,5,2,19,1950,0,0,0,37.2,4.8,0.227,8.21,0.8,0.7,37,1
NK,SFO,ATL,4,4,8,254,0,1,0,80.1,0.2,0.002,7.04,0.8,0.8,0,0
NK,DEN,ATL,5,1,15,1485,0,0,0,71.8,8.6,0.004,9.11,0.6,0.8,0,0
F9,SFO,DFW,5,2,17,1669,0,1,0,61.1,16.5,0.033,8.66,0.8,0.7,270,1
WN,SEA,MCO,12,3,19,852,0,0,1,38.7,2.3,0.033,6.7,0.5,0.6,0,0
UA,DEN,DFW,9,1,17,1941,0,1,0,31.4,13.4,0.173,7.6,0.6,0.7,0,0
B6,ATL,MCO,11,3,10,1608,0,0,1,59.2,12.3,0.059,6.7,0.8,0.6,0,0
WN,ORD,LAS,2,1,21,948,0,0,0,46.4,0.0,0.098,7.86,0.85,0.55,0,0
AS,DFW,LAX,7,6,14,2560,1,0,0,48.5,15.7,0.02,10.0,0.7,0.75,36,1
NK,SEA,JFK,9,5,12,1032,1,0,0,38.6,0.3,0.1,8.65,0.5,0.9,142,1
WN,LAS,DEN,7,1,19,945,0,0,0,27.9,13.1,0.069,8.16,0.55,0.6,0,0
F9,SEA,ATL,5,5,5,1617,1,0,0,27.9,6.5,0.005,8.79,0.5,0.8,0,0
DL,SEA,LAX,10,6,12,450,1,0,0,85.3,4.7,0.034,10.0,0.5,0.75,0,0
WN,ATL,MCO,2,5,6,961,1,0,0,63.7,2.6,0.036,10.0,0.8,0.6,0,0
AA,ORD,SFO,11,0,10,1833,0,0,1,62.7,0.0,0.063,9.49,0.85,0.8,0,0
DL,SEA,LAS,8,6,14,1736,1,0,0,74.3,8.4,0.041,8.36,0.5,0.55,0,0
F9,LAX,LAS,3,5,11,1066,1,0,0,51.9,7.5,0.038,10.0,0.75,0.55,0,0
UA,ORD,DEN,5,6,9,2582,1,0,0,56.1,4.4,0.045,8.37,0.85,0.6,33,1
UA,SFO,DFW,1,4,7,1545,0,1,0,54.7,9.3,0.013,9.53,0.8,0.7,0,0
UA,SEA,JFK,9,0,17,2249,0,1,0,54.5,12.0,0.077,3.92,0.5,0.9,86,1
UA,LAX,LAS,1,4,22,539,0,0,0,56.4,13.5,0.012,10.0,0.75,0.55,0,0
DL,LAX,DEN,6,0,12,986,0,0,0,66.7,2.0,0.015,8.68,0.75,0.6,0,0
UA,SEA,JFK,9,2,9,479,0,0,0,28.9,3.9,0.039,9.37,0.5,0.9,0,0
AA,LAX,ORD,9,4,10,1603,0,0,0,50.2,18.6,0.002,8.49,0.75,0.85,27,1
AA,LAX,ORD,2,2,17,1234,0,1,0,73.7,7.4,0.048,8.79,0.75,0.85,0,0
DL,SEA,MCO,5,6,9,2577,1,0,0,56.4,6.2,0.022,7.29,0.5,0.6,0,0
B6,ORD,ATL,4,2,9,1235,0,0,0,31.9,6.5,0.052,7.36,0.85,0.8,0,0
WN,ORD,DFW,12,6,10,1789,1,0,1,17.1,5.9,0.011,9.64,0.85,0.7,0,0
F9,LAX,MCO,10,5,9,2503,1,0,0,29.3,8.7,0.049,9.55,0.75,0.6,0,0
B6,ORD,ATL,6,1,10,858,0,0,0,68.2,6.9,0.078,4.6,0.85,0.8,0,0
UA,LAX,MCO,1,4,12,483,0,0,0,50.0,10.5,0.076,7.94,0.75,0.6,18,1
AS,LAX,DFW,7,1,12,1379,0,0,0,58.7,13.2,0.035,10.0,0.75,0.7,66,1
AA,SFO,LAS,11,4,16,220,0,1,1,60.7,15.5,0.003,8.93,0.8,0.55,0,0
WN,JFK,LAX,4,4,20,618,0,0,0,60.5,13.9,0.044,6.87,0.9,0.75,0,0
AA,MCO,SEA,7,2,10,863,0,0,0,54.7,5.5,0.027,8.38,0.6,0.5,0,0
NK,DFW,SFO,12,5,14,2057,1,0,1,9.3,1.7,0.008,10.0,0.7,0.8,0,0
AS,LAS,ATL,2,5,17,1893,1,1,0,49.5,16.8,0.13,10.0,0.55,0.8,80,1
WN,SFO,ATL,3,4,8,2072,0,1,0,63.8,16.5,0.076,7.73,0.8,0.8,0,0
UA,ATL,MCO,6,1,18,788,0,1,0,71.5,9.3,0.032,5.91,0.8,0.6,0,0
AS,SFO,DEN,12,6,8,1838,1,1,1,34.2,7.5,0.024,9.33,0.8,0.6,20,1
AA,DFW,JFK,3,3,20,1565,0,0,0,62.6,14.4,0.024,6.51,0.7,0.9,50,1
UA,SEA,ORD,2,5,20,1467,1,0,0,54.4,12.6,0.146,8.22,0.5,0.85,0,0
DL,SFO,ATL,6,6,10,524,1,0,0,87.7,10.7,0.029,6.6,0.8,0.8,0,0
AA,DEN,JFK,1,4,11,1450,0,0,0,37.5,6.2,0.023,10.0,0.6,0.9,0,0
WN,JFK,DFW,12,6,5,1181,1,0,1,49.6,12.8,0.048,6.99,0.9,0.7,0,0
WN,DEN,SEA,11,6,10,526,1,0,1,59.7,8.9,0.026,10.0,0.6,0.5,42,1
AA,DFW,MCO,2,4,13,1049,0,0,0,37.2,0.4,0.071,9.14,0.7,0.6,0,0
AA,DEN,JFK,3,1,5,213,0,0,0,54.6,9.3,0.005,6.5,0.6,0.9,0,0
F9,LAX,SEA,1,1,8,1137,0,1,0,34.9,4.0,0.047,7.5,0.75,0.5,0,0
F9,LAS,SFO,6,1,20,2148,0,0,0,45.8,4.3,0.098,7.9,0.55,0.8,0,0
WN,DEN,SEA,4,0,5,1570,0,0,0,44.6,11.7,0.01,8.87,0.6,0.5,0,0
AS,LAS,LAX,6,2,6,1158,0,0,0,75.8,18.6,0.021,9.86,0.55,0.75,41,1
DL,LAX,ORD,1,5,11,1652,1,0,0,41.5,8.8,0.009,10.0,0.75,0.85,0,0
UA,MCO,ORD,3,4,18,1635,0,1,0,35.6,14.8,0.144,10.0,0.6,0.85,53,1
WN,ATL,LAS,5,5,11,2222,1,0,0,61.2,17.7,0.018,7.03,0.8,0.55,0,0
WN,ORD,SFO,7,3,20,1381,0,0,0,46.0,8.9,0.074,8.73,0.85,0.8,0,0
AS,JFK,DEN,4,2,10,964,0,0,0,55.0,19.8,0.046,6.17,0.9,0.6,79,1
NK,LAS,JFK,4,5,10,1035,1,0,0,36.5,6.2,0.018,6.69,0.55,0.9,46,1
DL,ATL,SFO,11,1,11,1539,0,0,1,32.1,13.8,0.084,10.0,0.8,0.8,0,0
F9,SEA,MCO,3,1,15,830,0,0,0,56.8,7.7,0.057,10.0,0.5,0.6,0,0
NK,DEN,LAX,12,4,11,772,0,0,1,49.0,14.3,0.049,10.0,0.6,0.75,0,0
NK,LAS,ATL,8,6,18,1967,1,1,0,26.4,9.6,0.027,7.51,0.55,0.8,62,1
WN,JFK,ORD,5,3,17,1987,0,1,0,49.5,10.6,0.065,7.09,0.9,0.85,110,1
DL,MCO,SEA,10,5,15,1563,1,0,0,64.4,4.3,0.003,9.37,0.6,0.5,0,0
B6,DFW,MCO,1,2,22,2274,0,0,0,69.4,13.1,0.045,6.25,0.7,0.6,57,1
B6,LAS,ATL,12,2,9,2161,0,0,1,39.3,13.4,0.041,6.42,0.55,0.8,0,0
UA,MCO,SEA,11,2,12,1879,0,0,1,89.0,15.6,0.012,10.0,0.6,0.5,0,0
DL,LAS,LAX,8,2,13,1129,0,0,0,92.3,0.0,0.11,9.1,0.55,0.75,51,1
DL,LAS,DEN,7,1,10,896,0,0,0,60.6,20.1,0.02,10.0,0.55,0.6,0,0
AA,DFW,LAX,10,6,8,2074,1,1,0,35.5,14.9,0.026,10.0,0.7,0.75,0,0
F9,LAS,LAX,2,2,18,2261,0,1,0,74.3,14.9,0.035,5.66,0.55,0.75,0,0
B6,JFK,LAX,3,0,11,1694,0,0,0,85.8,15.0,0.007,10.0,0.9,0.75,0,0
F9,LAS,JFK,1,6,5,899,1,0,0,62.2,7.2,0.017,9.09,0.55,0.9,0,0
WN,ATL,MCO,9,1,6,1363,0,0,0,23.8,12.2,0.023,7.06,0.8,0.6,0,0
B6,ATL,DEN,2,3,9,2315,0,0,0,42.1,12.0,0.026,10.0,0.8,0.6,0,0
NK,LAS,SFO,2,5,10,643,1,0,0,53.6,13.5,0.03,6.81,0.55,0.8,31,1
AS,DFW,SEA,8,5,14,656,1,0,0,54.4,5.2,0.053,10.0,0.7,0.5,0,0
AS,MCO,JFK,6,3,21,1790,0,0,0,73.3,21.5,0.032,10.0,0.6,0.9,0,0
NK,ORD,ATL,10,5,15,1542,1,0,0,72.4,9.3,0.02,9.22,0.85,0.8,46,1
AA,ATL,ORD,3,6,19,682,1,0,0,65.2,7.6,0.106,8.71,0.8,0.85,0,0
AS,SEA,LAX,7,2,14,692,0,0,0,69.2,3.6,0.008,9.88,0.5,0.75,0,0
NK,LAX,LAS,11,6,8,470,1,1,1,32.5,13.8,0.011,8.11,0.75,0.55,60,1
NK,DEN,ATL,3,6,12,262,1,0,0,55.7,7.3,0.02,8.67,0.6,0.8,39,1
AA,DEN,JFK,4,0,9,382,0,0,0,101.9,8.2,0.032,10.0,0.6,0.9,226,1
F9,SFO,JFK,8,5,17,948,1,1,0,34.6,16.2,0.001,6.93,0.8,0.9,96,1
AS,ATL,ORD,6,0,17,1262,0,1,0,43.7,16.9,0.145,6.27,0.8,0.85,62,1
B6,SFO,LAS,12,0,9,2452,0,0,1,23.7,21.4,0.12,7.06,0.8,0.55,0,0
UA,ATL,ORD,5,4,9,1676,0,0,0,70.7,1.8,0.03,10.0,0.8,0.85,0,0
DL,LAX,DFW,8,5,5,609,1,0,0,59.1,0.0,0.036,10.0,0.75,0.7,0,0
DL,LAS,LAX,11,1,21,2374,0,0,1,44.6,12.8,0.012,4.86,0.55,0.75,29,1
DL,SFO,DFW,3,3,5,638,0,0,0,57.6,17.8,0.101,10.0,0.8,0.7,45,1
DL,MCO,ATL,4,0,16,813,0,1,0,66.1,2.4,0.061,9.97,0.6,0.8,0,0
B6,ATL,SFO,9,2,10,518,0,0,0,52.3,11.4,0.016,6.19,0.8,0.8,0,0
B6,MCO,LAX,2,6,7,1008,1,1,0,52.9,16.9,0.041,5.85,0.6,0.75,0,0
B6,JFK,SEA,4,5,15,1559,1,0,0,85.3,12.6,0.007,10.0,0.9,0.5,132,1
NK,DEN,LAS,9,2,16,2496,0,1,0,50.7,11.2,0.004,9.56,0.6,0.55,28,1
UA,SEA,DFW,1,6,12,1359,1,0,0,26.4,14.3,0.045,8.8,0.5,0.7,0,0
WN,JFK,DEN,6,0,14,678,0,0,0,71.0,9.6,0.073,9.25,0.9,0.6,0,0
F9,DEN,LAX,5,6,12,1472,1,0,0,60.8,7.4,0.055,7.96,0.6,0.75,0,0
UA,ORD,SFO,10,4,21,576,0,0,0,28.5,10.5,0.093,10.0,0.85,0.8,0,0
F9,SEA,JFK,9,1,16,2150,0,1,0,20.5,14.4,0.008,10.0,0.5,0.9,15,1
WN,LAS,LAX,3,4,22,1731,0,0,0,48.8,13.6,0.004,10.0,0.55,0.75,0,0
AS,JFK,DEN,12,6,22,273,1,0,1,74.7,9.5,0.011,5.6,0.9,0.6,39,1
UA,SEA,ORD,6,2,6,578,0,0,0,30.8,6.7,0.015,8.19,0.5,0.85,0,0
UA,LAS,DFW,5,6,16,2207,1,1,0,55.0,12.1,0.04,7.5,0.55,0.7,0,0
UA,LAX,LAS,1,0,12,1860,0,0,0,64.9,12.7,0.09,9.83,0.75,0.55,90,1
DL,SFO,MCO,10,4,18,1931,0,1,0,83.4,4.7,0.073,10.0,0.8,0.6,47,1
UA,SEA,ATL,3,2,17,984,0,1,0,31.0,9.0,0.058,7.52,0.5,0.8,0,0
B6,SEA,ORD,4,6,18,932,1,1,0,64.2,3.1,0.03,8.48,0.5,0.85,0,0
WN,ORD,SFO,6,3,14,795,0,0,0,70.2,22.8,0.03,7.11,0.85,0.8,15,1
F9,ORD,MCO,3,4,8,2267,0,1,0,21.5,18.0,0.08,7.63,0.85,0.6,0,0
WN,MCO,LAS,5,5,13,1867,1,0,0,68.9,4.8,0.129,10.0,0.6,0.55,40,1
AS,LAX,JFK,8,0,7,2489,0,1,0,52.3,12.3,0.011,10.0,0.75,0.9,0,0
NK,SEA,LAX,1,0,22,2311,0,0,0,72.5,9.0,0.074,6.49,0.5,0.75,77,1
UA,DEN,LAX,7,1,10,1631,0,0,0,9.9,9.3,0.007,8.73,0.6,0.75,0,0
NK,LAS,ATL,7,2,15,2266,0,0,0,41.9,16.2,0.058,7.17,0.55,0.8,27,1
AS,SFO,ORD,2,3,20,1436,0,0,0,65.8,10.9,0.049,6.49,0.8,0.85,0,0
WN,LAX,DEN,8,2,6,961,0,0,0,27.6,8.2,0.049,6.64,0.75,0.6,0,0
WN,LAX,DEN,7,5,18,267,1,1,0,69.9,5.9,0.039,7.91,0.75,0.6,0,0
DL,LAX,ORD,6,2,19,586,0,0,0,66.5,11.4,0.01,7.5,0.75,0.85,0,0
DL,LAX,SFO,6,2,12,1051,0,0,0,52.2,10.8,0.091,4.72,0.75,0.8,0,0
WN,LAS,DEN,10,0,20,1007,0,0,0,56.4,5.4,0.006,9.09,0.55,0.6,0,0
WN,MCO,LAX,2,5,14,1401,1,0,0,67.3,19.4,0.007,10.0,0.6,0.75,61,1
F9,ATL,DFW,10,6,11,1855,1,0,0,118.3,6.2,0.075,6.0,0.8,0.7,94,1
WN,LAX,ORD,2,3,9,847,0,0,0,61.1,16.9,0.061,8.96,0.75,0.85,0,0
UA,LAX,JFK,11,0,5,323,0,0,1,39.1,1.9,0.106,9.11,0.75,0.9,0,0
DL,DFW,DEN,2,0,13,1523,0,0,0,65.2,16.2,0.092,8.37,0.7,0.6,0,0
AA,ORD,DFW,12,3,13,730,0,0,1,69.8,0.0,0.036,10.0,0.85,0.7,0,0
AA,DEN,SEA,9,2,8,459,0,1,0,34.9,18.5,0.123,7.61,0.6,0.5,0,0
DL,DEN,LAS,6,4,7,1098,0,1,0,52.4,3.4,0.053,7.43,0.6,0.55,0,0
B6,LAX,LAS,4,4,20,872,0,0,0,59.6,3.5,0.011,6.59,0.75,0.55,0,0
NK,LAX,DEN,2,1,20,312,0,0,0,44.2,0.0,0.047,9.88,0.75,0.6,0,0
F9,ORD,SFO,2,4,17,413,0,1,0,41.8,17.1,0.059,9.3,0.85,0.8,0,0
B6,ATL,SEA,9,4,21,2153,0,0,0,32.6,11.7,0.025,8.55,0.8,0.5,0,0
NK,LAX,ORD,3,3,6,445,0,0,0,81.1,10.4,0.034,9.05,0.75,0.85,65,1
NK,SEA,LAX,5,6,18,1668,1,1,0,63.5,14.9,0.008,7.41,0.5,0.75,0,0
AA,LAS,SEA,5,4,11,454,0,0,0,44.8,11.8,0.078,8.52,0.55,0.5,0,0
UA,SFO,JFK,1,3,17,1981,0,1,0,37.7,13.2,0.009,9.01,0.8,0.9,41,1
DL,ATL,LAX,2,4,19,1293,0,0,0,38.2,6.4,0.061,10.0,0.8,0.75,0,0
WN,ATL,DEN,5,6,7,1289,1,1,0,53.5,11.3,0.015,7.9,0.8,0.6,60,1
AA,DEN,SFO,7,5,12,338,1,0,0,58.2,9.9,0.006,5.98,0.6,0.8,34,1
UA,ORD,SFO,10,4,15,722,0,0,0,99.5,7.5,0.023,8.55,0.85,0.8,0,0
NK,ORD,SFO,11,0,16,517,0,1,1,55.8,11.3,0.04,8.44,0.85,0.8,51,1
B6,DFW,LAX,11,2,7,239,0,1,1,95.1,8.5,0.022,6.2,0.7,0.75,0,0
NK,ORD,LAX,11,2,9,325,0,0,1,53.3,10.8,0.056,10.0,0.85,0.75,15,1
WN,ATL,LAS,10,5,15,2170,1,0,0,46.8,3.5,0.053,8.86,0.8,0.55,0,0
